枠名,楽曲名,歌唱順,配信日,枠URL,コラボ相手様,原曲Artist,作詞,作曲
【?#初配信?】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,メビウス,1,2026年2月22日,https://www.youtube.com/live/FBeA6Zd4aIY?si=5Hba8ojUjGRneshN&t=100,なし,柊キライ,柊キライ,柊キライ
【?#初配信?】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,QUEEN,2,2026年2月22日,https://www.youtube.com/live/FBeA6Zd4aIY?si=Owat2FZmFWmZQ0Wh&t=310,なし,Kanaria,Kanaria,Kanaria
【?#初配信?】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,PULSE,3,2026年2月22日,https://www.youtube.com/live/FBeA6Zd4aIY?si=Owat2FZmFWmZQ0Wh&t=455,なし,妃玖,niki,niki
【?#初配信?】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,メフィスト,4,2026年2月22日,https://www.youtube.com/live/FBeA6Zd4aIY?si=O6__UrGeZNel4e00&t=667,なし,女王蜂,薔薇園アヴ,薔薇園アヴ
【?#初配信?】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,千本桜,5,2026年2月22日,https://www.youtube.com/live/FBeA6Zd4aIY?si=O6__UrGeZNel4e00&t=903,なし,黒うさP,黒うさP,黒うさP
【?#初配信?】初めまして、妃玖です。【妃玖 / RK Music】#妃玖初配信,PULSE,6,2026年2月22日,https://www.youtube.com/live/FBeA6Zd4aIY?si=O6__UrGeZNel4e00&t=1435,なし,妃玖,niki,niki
【自己紹介/雑談/歌】色々話そう。,斜陽,1,2026年2月23日,https://www.youtube.com/live/fDVXhtnfDSc?si=iZ0oOfIuq-32zc2o&t=6227,なし,ヨルシカ,n-buna,n-buna
【自己紹介/雑談/歌】色々話そう。,残響散歌,2,2026年2月23日,https://www.youtube.com/live/fDVXhtnfDSc?si=iZ0oOfIuq-32zc2o&t=7162,なし,Aimer,Aimer,飛内将大
【自己紹介/雑談/歌】色々話そう。,フォニイ,3,2026年2月23日,https://www.youtube.com/live/fDVXhtnfDSc?si=iZ0oOfIuq-32zc2o&t=8409,なし,ツミキ,ツミキ,ツミキ
【歌/雑談】急に寒いね、外が。,アヤノの幸福理論,1,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=665,なし,じん,じん,じん
【歌/雑談】急に寒いね、外が。,青のすみか,2,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=2479,なし,キタニタツヤ,キタニタツヤ,キタニタツヤ
【歌/雑談】急に寒いね、外が。,GLAMOROUS SKY,3,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=4693,なし,中島美嘉,AI YAZAWA,HYDE
【歌/雑談】急に寒いね、外が。,美しい鰭,4,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=6242,なし,スピッツ,草野マサム,草野マサム
【歌/雑談】急に寒いね、外が。,めざせポケモンマスター,5,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=7785,なし,松本梨香,戸田昭吾,たなかひろかず
【歌/雑談】急に寒いね、外が。,思想犯,6,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=9194,なし,ヨルシカ,n-buna,n-buna
【歌/雑談】急に寒いね、外が。,藍二乗,7,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=9674,なし,ヨルシカ,n-buna,n-buna
【歌/雑談】急に寒いね、外が。,アルジャーノン,8,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=10129,なし,ヨルシカ,n-buna,n-buna
【歌/雑談】急に寒いね、外が。,ノーチラス,9,2026年2月25日,https://www.youtube.com/live/V_wtPmGOF7I?si=Yl-alpJSEMwHm7mO&t=10667,なし,ヨルシカ,n-buna,n-buna
【歌/雑談】今日もおつかれ！,丸の内サディスティック,1,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=490,なし,椎名林檎,椎名林檎,椎名林檎
【歌/雑談】今日もおつかれ！,右肩の蝶,2,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=1160,なし,のりP,水野悠良,のりP
【歌/雑談】今日もおつかれ！,フィクサー,3,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=2088,なし,ぬゆり,ぬゆり,ぬゆり
【歌/雑談】今日もおつかれ！,サマータイムレコード,4,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=2951,なし,じん,じん,じん
【歌/雑談】今日もおつかれ！,エイリアンズ,5,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=3458,なし,キリンジ,堀込泰行,堀込泰行
【歌/雑談】今日もおつかれ！,ケセラセラ,6,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=4205,なし,Mrs. GREEN APPLE,大森元貴,大森元貴
【歌/雑談】今日もおつかれ！,風のゆくえ,7,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=4638,なし,Ado,秦基博,秦基博
【歌/雑談】今日もおつかれ！,少女レイ,8,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=6690,なし,みきとP,みきとP,みきとP
【歌/雑談】今日もおつかれ！,オレンジ,9,2026年2月27日,https://www.youtube.com/live/yGJRsAs3Ee0?si=RgLjhprIsIzAY1WE&t=8207,なし,西野カナ,Kana NishinoGIORGIO13,GIORGIO CANCEMI
【歌/雑談】やぁ。,余所事,1,2026年3月4日,https://www.youtube.com/live/6LWMbxPC0l0?si=xq7VZwWDsu3qtLhl&t=3023,なし,BUMP OF CHICKEN,藤原基央,藤原基央
【歌/雑談】やぁ。,ヤミタイガール,2,2026年3月4日,https://www.youtube.com/live/6LWMbxPC0l0?si=xq7VZwWDsu3qtLhl&t=3509,なし,koyori/電ポルP,koyori,koyori
【歌/雑談】やぁ。,独りんぼエンヴィー,3,2026年3月4日,https://www.youtube.com/live/6LWMbxPC0l0?si=xq7VZwWDsu3qtLhl&t=5656,なし,れるりり,れるりり,れるりり
【歌/雑談】やぁ。,アカシア,4,2026年3月4日,https://www.youtube.com/live/6LWMbxPC0l0?si=xq7VZwWDsu3qtLhl&t=8186,なし,におP,におP,におP
【歌/雑談】やぁ。,会いたくて会いたくて,5,2026年3月4日,https://www.youtube.com/live/6LWMbxPC0l0?si=xq7VZwWDsu3qtLhl&t=10885,なし,SPYAIR,MOMIKEN,UZ
【雑談】歌も少し！いよいよ明日！,怪獣の花唄,1,2026年3月7日,https://www.youtube.com/live/-0pd-iRooQg?si=ZmJmFMJspk0VWsWr&t=122,なし,Vaundy,Vaundy,Vaundy
【雑談】歌も少し！いよいよ明日！,創聖のアクエリオン,2,2026年3月7日,https://www.youtube.com/live/-0pd-iRooQg?si=ZmJmFMJspk0VWsWr&t=2274,なし,AKINO,菅野よう子,菅野よう子
【雑談】歌も少し！いよいよ明日！,This game,3,2026年3月7日,https://www.youtube.com/live/-0pd-iRooQg?si=ZmJmFMJspk0VWsWr&t=3473,なし,鈴木このみ,深青結希,若林充
【雑談】歌も少し！いよいよ明日！,PULSE,4,2026年3月7日,https://www.youtube.com/live/-0pd-iRooQg?si=ZmJmFMJspk0VWsWr&t=4020,なし,妃玖,niki,niki
